,text
40,"herd immunity regarding covid-19 which is a corona virus, just as the common cold is. IF Herd immunity worked, then… https://t.co/ohfNELSagp"
41,"According to @NCDCgov ,till date, 56478 cases are confirmed, 44430 cases are of discharge, and 1088 cases of deaths… https://t.co/HgYwuY0Wu8"
42,Sometimes I am concerned that watching and listening and summarizing all this dribble could have a serious long las… https://t.co/OCiPjEIrLC
43,"CDC director says masks are more effective against COVID-19 than a vaccine. Months earlier, he said the... https://t.co/jziNcrmMKd"
44,"@DavinoBob @411_JustLook @Rockprincess818 Does accuracy count?
https://t.co/zAfZa0N7Xn"
45,Trump Says “Herd Mentality” Will Help COVID-19 “Disappear” https://t.co/YR00tyQynX
46,« Highest growth in the world» https://t.co/7voOcdOG2z
47,"@RepAndyBiggsAZ Federal Court Rules State and County Mandates for Coronavirus are Unconstitutional, therefore, no M… https://t.co/ylwMpWpNFz"
48,Who’s gonna tell him? https://t.co/56LE1gTpsc
49,Coronavirus testing centre shut down to make way for Brexit lorry park https://t.co/f2sJgJ9tXe
50,Excellent article https://t.co/dZLD8Gctmf
51,"In the Webinar Hosted by #JohnsHopkinsUniversity’s School of Advanced International Studies, JICA Senior Vice Pres.… https://t.co/Sb5VsXXHAs"
52,B.C. to A.D. (Before Coronavirus...After Disease) - Register for free to attend @asugsvsummit &amp; engage with an incr… https://t.co/OPdw8s6uAb
53,Can't wait!!! OH - IO!! https://t.co/C4Ab99srzm
54,Co-sign https://t.co/TioeH6GPOr
55,@KoGCitizenship @MichaelRosenYes @brianlavery59 There are hundreds of publications that testify to organ damage in… https://t.co/qIwhuvdY7G
56,The The Big Cheese Photo Daily is out! https://t.co/Bjpv0T6mGT Stories via @ABell2019 @ExcludedUK #coronavirus
57,@mindfullyMike This is not true.  https://t.co/5JyuzkD4fJ
58,.@TracyBrabin yes very interesting. @RishiSunak behaviour was appalling yesterday. His shiny polish is wearing thin… https://t.co/Rzc4oTP70M
59,"this editorial considers how canada can improve in the second covid-19 wave, but omits the key role of communicatio… https://t.co/s43f9dCVxV"
60,A must read to prepare for the next 18 months “America Is Trapped in a Pandemic Spiral“ https://t.co/wsQelPOq8Z… https://t.co/Q7q59BfmuK
61,"#COVID19

Big Ten changes course, will play fall football after all

Ralph D. reports: https://t.co/BdZHWXV4Vx

Tri… https://t.co/mMZeFXBWns"
62,"NHS Test and Trace will email, phone or text if you’ve been in close contact with coronavirus.

They will never:
❌… https://t.co/XV9lB2p0uN"
63,"@ConnectPSN ""In a crisis, you have to keep your focus on your guiding principles: your vision, mission &amp; values. CO… https://t.co/Dsqky7B4CL"
64,"The ""Back The Blue"" Rally in Cuyahoga Falls is canceled after the organizer and host cited COVID-19 concerns. https://t.co/WXAKBIu2br"
65,"Ok, im gonna try to get some help from my patriot friends. Help me spread this far  and wide. #MAGA https://t.co/wsi3nv6FtK"
66,Oh snap 😂 https://t.co/rZv5DCK4nX
67,@PeterNavarro45 They are afraid of what she has to say about this virus. #CCPVirus #COVID19
68,"We worked with all the systems we could devise, and ascertained that there is no single system or plan remaining th… https://t.co/hZ3ct3hLh5"
69,"🤔

Thousands of North Carolina residents incorrectly told they had coronavirus

https://t.co/j4X3KhlGqj"
70,"@beta_rank_fb I was confused when the USC statement said: ""According to the Pac-12’s Medical Advisory Committee, da… https://t.co/oybrTsGCev"
71,One could only dream fuckface in chief gets sick https://t.co/pwwZIUtVdP
72,"😳 
With the 
#COVID19 pandemic
#FireSeason2020 Apocalyptic smoke

And

All the other #2020worstyear BadThings

Toda… https://t.co/iOOqjWhvPd"
73,"@ianmSC Ah, but the key difference in that study is that those who were #COVID19 positive would NOT have been weari… https://t.co/AOxUrDp5mE"
74,Happy to share a fresh preprint on an overview of #CD19 in #COVID19: Insights from #PrimaryImmunodeficiency and… https://t.co/6qHnDfIlPx
75,"Nearly two decades after 9/11, the parallels between the post-terrorist attack ‘New Normal’ &amp; that of Covid-19 can’… https://t.co/hrPpXYXzON"
76,N_landCouncil: RT @northumbriapol: 🗣 A message here from our Chief Constable on the new #Covid19 regulations that h… https://t.co/M8KQRMNGTO
77,Another one bites the dust because he didn’t share the views and opinions of the narrative and used his own logical… https://t.co/XJgYZqNccj
78,With only 14% to 16% of Indians having health insurance &amp; Indian government spending on health at roughly 1.13% of… https://t.co/vz943w7U7f
79,@dawg_tri @ppl4justice @dinospider00 @teeyoung2020 @CAPAction @BGHeaven BTW I'm using the same source as the video… https://t.co/BZx8QQ1WKl
80,So sick and tired of the career politicians on both sides playing with ppls lives https://t.co/iVGRnQGk4D
81,"@Twitter the fake account @yanlimeng2020 is still running since July, are you kidding me? Why are you suspending… https://t.co/PuifrgGM59"
82,@SamGrothTennis @VicGovDHHS It’s usually shared in the media release later in the day https://t.co/eYnAygvKDe
83,"?TO DO DURING COVID🤷‍♂️#26 🧺A Pandemic Picnic with a Pup!🐶 Keep Calm and Picnic on a People!!🌲🤣🙏

#picnicday… https://t.co/C1adGzSDLU"
84,Expert Calls For Daylight Saving To Be Cancelled This Year Due To Coronavirus Risk &gt;&gt; https://t.co/pYUwA9WHtO https://t.co/n5SHa4G7vI
85,@Acosta Cloth masks DO NOT stop microbes the size of the coronavirus. Its a fact and implies a false security. Plea… https://t.co/zZtzbZ7jK7
86,"ODD QUESTION - Do you think someone would lie about having #COVID19 to get out of dating you? 🤔
context: person has… https://t.co/1O6NNjH1TF"
87,@VillaneuvaEdgar of Decolonizing Wealth Project on what we want to take into the new world.  Post #COVID19 we need… https://t.co/AORtOzaePj
88,Today school leaders and governors associations @NAHTnews @ASCL_UK &amp; @NGAMedia have written to the Prime Minister w… https://t.co/Min7v92WBh
89,"@skyscraperfreak @BNODesk Check this out for transparency: case details on every single case. 

https://t.co/aOGMrFQI4o"
90,"Local Authorities Order Anti-Maskers To Dig Graves For COVID-19 Victims In Java, Indonesia | Bored Panda https://t.co/1rriD5BNE7"
91,"36 Vietnamese stowaways came from China, tested for coronavirus https://t.co/9vtgiEO0O7 https://t.co/y6u4ODbO9w"
92,Kinda disappointed she didn't keep the pet worm around for the rest of the interview. https://t.co/aE53yq1Loy
93,"I won't respond to any of them in particular because it'd be rude but come on

Nobody is saying Covid-19 or what's… https://t.co/RQ35BLAESF"
94,Bill Gates slams ‘shocking’ U.S. response to Covid-19 pandemic https://t.co/c79K68USwA via @statnews
95,"No it wont disappear.
Since b4 Easter he has said it would disappear. 
Its not going anywhere based on his shit res… https://t.co/pVmgRhmzl2"
96,We are still experiencing 1000 Covid-19 deaths per day. There is no defense for this or for @realDonaldTrump &amp; his… https://t.co/KEFPLqCiNd
97,Joker 2020: https://t.co/W8osVKAMdL
98,US unveils plan to provide free coronavirus vaccine https://t.co/9SKnZTqIE8
99,"@CNBCnow From the article ""There are no approved vaccines for the coronavirus. Three drugmakers are currently in la… https://t.co/SWZPCp48FE"
100,"I’m sick of coronavirus now, is anything ever going to be back to normal ????"
101,Of course not https://t.co/YUUFPO3bvZ
102,"For those bummed with COVID-19 publishing woes, there's plenty mystery, crime books out. Sharon Saye has details in… https://t.co/JWnM9yBBto"
103,"@realDonaldTrump 
1. HER MOTHER HAD CANCER NOT #COVID19 
2. SHE ASKED YOU ABOUT IMMIGRATION!!!! #AmericaNeedsBiden https://t.co/0vd8X4zz6V"
104,Is this just a made up number to sound safe?  Lol https://t.co/j5stpyMZNy
105,"@DYoffee @ABC @ABC2020 Enjoy this

https://t.co/XxPlxo3rYW"
106,If you are an early bird why not catch me on @NewstalkFM Breakfast Business tomorrow morning between 06:30 and 07:0… https://t.co/MxkeUA6IA4
107,COVID-19 and the impact on residential landlords and tenants #Covid-19 #Landlord Law @ashtonrosslaw #thelegalhour… https://t.co/CNSbfV6BQ8
108,"@DNCWarRoom @PressSec The US Surgeon General wants me to wear a mask to prevent coronavirus.

But I’m waiting to he… https://t.co/1bkpypxgcR"
109,MUST WATCH: Michael Caputo’s COVID-19 Conspiracy Theory Video Is Frightening https://t.co/ecj2mMHEpI via @politizoom
110,I've signed the petition for the government to fix the problems in England's #coronavirus testing system. Will you… https://t.co/Og6fuTIBIS
111,I'm sick of Fred Flinstone https://t.co/O7OXeAMelL
112,"ALERT: How U.S.’s Response to Covid-19 Could Precipitate 2nd Great
Depression - Global Pandemic News | #Coronavirus… https://t.co/Uw0TzcHx70"
113,🖋 Sign “Investigate Forced Hysterectomies in ICE Detention Centers” and I’ll deliver a copy to your officials:… https://t.co/2HAE61PkW2
114,"Dr. Fauci just gave us the worst possible news about the coronavirus pandemic

https://t.co/Bzan3acYp0"
115,"Giraffe has a free tier! This no-cost option includes…
➡️ Full product + Slack integration for up to 20 users
➡️ In… https://t.co/EMrSSv5Jyv"
116,The core message must remain the same wash your hands keep social distance cough etiquette keep your hands from you… https://t.co/FN63csBx8g
117,"76 Days focuses on personal stories from #Wuhan instead of taking an investigative route, following patients and st… https://t.co/0QH87VsE4H"
118,"https://t.co/VYdLIuQYgJ MCO may have to be reimposed if Covid-19 cases rise sharply -Muhyiddin

‒ theSundaily"
119,We need the daily meetings at 5 back again. @BorisJohnson @MattHancock @SkyNews @BBCNews @itvnews #COVID19
120,@AmandaSalas Everyone should be talking about Dr. Li-Meng Yan and her assertion that the CCP made and released Covi… https://t.co/21rvl4xr6Z
121,"Useful message in a book shelf when one reads the titles from top left to bottom right in that order. 
#COVID19… https://t.co/tiK7sKtLw9"
122,@Lincolnhawk331 @MilfordMatthew3 @jeannebodine @PhillyInquirer 5) The Biden plan would also double down on the effo… https://t.co/9YSm7BmFEm
123,"This is terribly heartbreaking. And it should never be necessary to research. Yet, here we are. https://t.co/wvNHN4GE19"
124,One in 10 COVID-19 patients return to hospital after being sent home from ER: US Study https://t.co/xPLLmBftFK
125,"Uh... Might as well cancel your Football Season, LSU. https://t.co/PvhH6eYrBH"
126,@PrisonPlanet Chinese virologist Dr. Li-Meng Yan states that Covid-19 is not a natural virus and that it was create… https://t.co/Gua4LQHTUh
127,News from @ERE_net Should You Adjust Pay for Remote Employees?: COVID-19 has catapulted remote work into the center… https://t.co/dqr3AplKzc
128,"Wow, imagine how many hospitalizations and deaths will be traced to the indoor hate rallies @realDonaldTrump held l… https://t.co/Ov1FWpSrup"
129,"Despite Government interventions, a BBC Freedom of Information Request has revealed that over 300,000 redundancies… https://t.co/P6RinaSJq4"
130,"✍️️ In this opinion piece, Prof Anthony Costello lists the issues which led to the failure of England’s test, track… https://t.co/dBEpGJ1tcg"
131,"@FactualLiberal @lizunyan @ChaiVida @RexChapman You're just so far away from even scratching the surface.

Are you… https://t.co/ZwjHiOmScZ"
132,damn jh made it on narcity https://t.co/yH3VGcck6s
133,"Authorities report 312 new coronavirus infections, three deaths https://t.co/mgmEewPhOA"
134,"A court case challenging Daniel Andrews’ curfew laws needs to be heard as a matter of urgency, a Supreme Court judg… https://t.co/QZQL2y3DMC"
135,"""I take no responsibility!"" #TrumpLied200KDied https://t.co/6BAQ1HiGw0"
136,Niedermeyer said he’s told older guys ”it’s about doing the right things” and that they’ve done a great job handling COVID-19 protocols.
137,"@realDonaldTrump 3rd Quarter 2021 

https://t.co/grkDIEazBa"
138,This makes a lot of sense if you believe in science and proper vaccination testing protocols. So what's the over/un… https://t.co/5VPd0MUNGz
139,@ClickCollins @jchen1217 @pwoiter @DHughesy Considering our prior success with developing coronavirus vaccines I am… https://t.co/UzKJgWLmHA
140,"#WorldObesityLive is returning tomorrow! 📢🚨

Join us and others on the 17th September at 12:00 - 13:00 BST for 'The… https://t.co/JiWQ8i5em2"
141,"From hospital workers to video editors and everyone in between during a global pandemic, how are people feeling rig… https://t.co/NlaY6j9NnL"
142,NYC Restaurants Will Soon Be Allowed to Add Up to 10 Percent Surcharge to Diners’ Bills https://t.co/sAcL5GM7s6
143,"LIVE: Top health officials testify before Senate committee on Covid-19 response — 9/16/2020
https://t.co/cfh9iw48dt"
144,U.S. outlines sweeping plan to provide free COVID-19 vaccines https://t.co/iWnUW4Ow10
145,5 million positive cumulative cases in India as of today. Of these 1 million are active cases. #StaySafe #COVID19 https://t.co/1ssFmMl6os
146,"Migrant deaths government won’t see https://t.co/fZMOHIOUuc - Not fit to rule this country. They must be booted out, unceremoniously."
147,India Covid-19 Tally Crosses 50 Lakh As Virus Spreads At Record Pace #educratsweb: India… https://t.co/pQQEfYNc3a
148,Keep an eye out for #dgimprovers own QI Hub Pinterest boards filled with resources &amp; information to help you start… https://t.co/EVSCFEqAFI
149,Concordia is thrilled to announce @MEBOInternatio1 as a Sponsor for the Annual Summit! MEBO International is a biot… https://t.co/bwvXFzVgDt
150,"@seanhannity 200,000 killed by coronavirus, 6.7 million infected, 42 million unemployed
-Tells Woodward he knows Co… https://t.co/Bxbkx3cvWH"
151,"After his COVID-19 briefing w/experts, @JoeBiden responded in depth about biological differences of ongoing vaccine… https://t.co/y2nNRCOZZS"
152,"There are 650 SEATS, get rid of 325 of them,
Preferably 325 TORY ONES!
They have handled Coronavirus shockingly!
Te… https://t.co/fghA6PmMsM"
153,"@cllrccarubia Posted... 
https://t.co/YaSkF9pCiE"
154,"48 days until the election. #VoteBlueToEndThisNightmare 

""Trump attacks Biden on coronavirus mask mandates. But Bi… https://t.co/JcXQgA9MGH"
155,"@EdenfieldPl @CDCDirector @CDCMMWR Has to do with whether it is a single or double strand virus.

Nooooo. #COVID19… https://t.co/JHHZLLQMc9"
156,this guy talking about public safety after his handling of covid19 &amp; brexit https://t.co/P2wXAHXSCH
157,"""Our record on saving lives has been solid,"" @MichiganHHS  Director @robertmgordon tells joint House-Senate committ… https://t.co/NddsHSFehO"
158,"@JustinTrudeau Justin the Covid-19 it's going to take a lot time to eliminate this disease, Maybe years. What is th… https://t.co/0LyHDQghVy"
159,He is very good. https://t.co/enXDDdbZqy
160,Me too. Six months in last Saturday. https://t.co/YT94ii2OxB
161,"CRUTECH PROJECT TOPICS AND MATERIALS
Get Complete Project Chapter 1-5 at https://t.co/ZRzox0bsRz
#CRUTECH… https://t.co/htbLnSlsEf"
162,"PAIN SUFFERING in the TIME OF CORONA
The DEA curtails Rx Opioid supplies, torturing untreated 
pain pts. It also im… https://t.co/w2e6TRxa7w"
163,"#Maddow tonight is explaining how Trump and the radiologist that 
Stanford is disavowing who is now leading our… https://t.co/fnOWaCOf49"
164,First China an now spouse doing Pakistan .. agent ? https://t.co/Tk81Lhxj0e
165,"📣 New Podcast! ""434: All About That Base (with Evan Bazel)"" on @Spreaker #coronavirus #gop #ice #news #trump https://t.co/mh4zK8wFvx"
166,"CPS staff should ALL work remotely &amp; go to the building only when it's urgently necessary!!!! 🤦🏻‍♀️🤦🏻‍♀️
FOLLOW THE… https://t.co/C1nH7xyx6c"
167,"My last email for the day b ought on a huge smile. Happy, excited and proud that Krishna Sudheendra is in the top 2… https://t.co/kRGKz3k2Qz"
168,"Speaking out in Australia. When will someone in our government tell us the truth?
#CovidHoax #coronavirus
https://t.co/EXQ0Gxex2o"
169,BBC News - Coronavirus: Trump denies downplaying severity of virus https://t.co/L10gySspLU
170,Trump touts herd immunity approach to COVID-19 that experts warn would kill millions: ‘He’s describing a massacre’… https://t.co/E7NadVuoUL
171,Ed Ojeron says LSU’s ‘most’ players have contracted coronavirus https://t.co/2th4JIR4Wc
172,It’s not us. #HBCU https://t.co/ptq9wCdV9q
173,Community Association Board Meetings During the Time of COVID-19 | Vandeventer Black LLP - https://t.co/sHaZWLzpuf… https://t.co/UjiYGsq63U
174,Why a Negative Test Doesn’t Guarantee You Don’t Have the Coronavirus https://t.co/r3USQsWMLn via @NewYorker
175,"@marcorubio The “I alone can fix it” guy has provided America with 200,000 deaths due to his failed response to Cor… https://t.co/ctBsD0fU7B"
176,Third staff member tests positive for coronavirus at Bournemouth Wetherspoon pub https://t.co/ufu1r6b1cj
177,Follow the disclaimers. #COVID19 https://t.co/KEfrvXNff5
178,All that horrible wildfire smoke could be making people more vulnerable to COVID-19 https://t.co/EsTnUyysat via @MotherJones
179,".@RNIB, @TPTgeneral and @guidedogs have put together key advice on sighted guiding during the #COVID19 pandemic. Re… https://t.co/7D7L3UMadg"
180,Shocking!! https://t.co/ItTcRhA4HX
181,Logical result to 'If we tested less we'd have fewer cases' is: https://t.co/CQBqKFPf8y
182,Trump confirms White House staff member tested positive for Covid-19 https://t.co/5jfpXcwCpr
183,I hate it here. https://t.co/aBi472vGP6
184,"⁦Has @SpoxHHS⁩, his family been threatened? By whom?  Are these illusory threats really being “prosecuted”?  If so,… https://t.co/TP5FF2hpAt"
185,Some International Travellers Present Fake COVID-19 Test Results - PTF - https://t.co/4c7CJO6Brf https://t.co/OC5CE2iY4Z
186,President Trump says he can talk GOP into going for 'larger' coronavirus aid https://t.co/wCxMWzzFKA
187,South Park's new hour-long special will tackle the coronavirus     - CNET https://t.co/CL86rGKmoB
188,"The Commission on Higher Education has completed guidelines for possible face-to-face classes by January, but only… https://t.co/w48RYqUxoj"
189,There where about 20 folks in line but because we had made an appointment we where taken right away. It was very we… https://t.co/U7DXB0txEy
190,Daylight saving time bill proposes skipping time change this year amid COVID-19 pandemic — wrong answer.  Switch ba… https://t.co/U1pUTH5Hl9
191,Yelp data shows 60% of business closures due to the coronavirus are never reopening. 😳😳😳 https://t.co/mYSWIUHEKl
192,😭Wish we had this here in USA. https://t.co/nyqf0prFjh
193,"No, you are just spinning his answer, ABC and MSM seem to think no one watches the briefing https://t.co/7rRLynnbKg"
194,... and CoVid19 potential contacts! Thx &amp; Rgds ^RW cc @nswcho @abcnews #contacttracing #realeconomy #ethics… https://t.co/JczPfqjlMS
195,But the Riverton fancy car gathering and the car parade  were well worth it. Right? https://t.co/r13sI0U1L8
196,The Majority Of Children Who Die From COVID-19 Are Children Of Color https://t.co/pzTxFBFQ1U
197,Oh god. https://t.co/UQfnBGoDvv
198,@SophiaTesfaye One of the challenges the US faces during the COVID-19 crisis is President Trump has not always been… https://t.co/gXzbdhQkSv
199,"Meant to be going away golfing next week for a couple of nights, this better not be fucking true 🤯💔 https://t.co/7oQc1MkvBZ"
