,text,ttext,nstop
11,⁦⁩help slow the spread of  and identify at risk cases sooner by self-reporting your symptoms… ,"['\u2066\u2069help', 'slow', 'the', 'spread', 'of', ' ', 'and', 'identify', 'at', 'risk', 'cases', 'sooner', 'by', 'self', '-', 'reporting', 'your', 'symptoms', '…']","['\u2066\u2069help', 'slow', 'spread', ' ', 'identify', 'risk', 'cases', 'sooner', 'self', '-', 'reporting', 'symptoms', '…']"
12,"dear  , can you please clarify the 48 hours covid-19 test condition for arrival passengers, should i… ","['dear', ' ', ',', 'can', 'you', 'please', 'clarify', 'the', '48', 'hours', 'covid-19', 'test', 'condition', 'for', 'arrival', 'passengers', ',', 'should', 'i', '…']","['dear', ' ', ',', 'you', 'clarify', '48', 'hours', 'covid-19', 'test', 'condition', 'arrival', 'passengers', ',', 'i', '…']"
13,eight people in indonesia refused to wear face masks. they were ordered to dig graves for covid-19 victims as punis… ,"['eight', 'people', 'in', 'indonesia', 'refused', 'to', 'wear', 'face', 'masks', '.', 'they', 'were', 'ordered', 'to', 'dig', 'graves', 'for', 'covid-19', 'victims', 'as', 'punis', '…']","['people', 'indonesia', 'refused', 'wear', 'face', 'masks', '.', 'were', 'ordered', 'dig', 'graves', 'covid-19', 'victims', 'punis', '…']"
14,"""lock-him-up""!that's what all these democrat govs+mayors told their states+cities citizens,if don't obey me,your ge… ","['""', 'lock', '-', 'him', '-', 'up""!that', ""'s"", 'what', 'all', 'these', 'democrat', 'govs+mayors', 'told', 'their', 'states+cities', 'citizens', ',', 'if', 'do', ""n't"", 'obey', 'me', ',', 'your', 'ge', '…']","['""', 'lock', '-', '-', 'up""!that', 'what', 'these', 'democrat', 'govs+mayors', 'told', 'states+cities', 'citizens', ',', 'do', 'obey', ',', 'ge', '…']"
15,not enough covid-19 vaccines for return to normal until 2022: who scientist,"['not', 'enough', 'covid-19', 'vaccines', 'for', 'return', 'to', 'normal', 'until', '2022', ':', 'who', 'scientist']","['enough', 'covid-19', 'vaccines', 'return', 'normal', '2022', ':', 'scientist']"
16,it's tough to tell covid-19 from smoke inhalation symptoms — and flu season's coming ,"['it', ""'s"", 'tough', 'to', 'tell', 'covid-19', 'from', 'smoke', 'inhalation', 'symptoms', '—', 'and', 'flu', 'season', ""'s"", 'coming']","['tough', 'tell', 'covid-19', 'smoke', 'inhalation', 'symptoms', '—', 'flu', 'season', ""'s"", 'coming']"
17,this we need more daniel dale! ,"['this', 'we', 'need', 'more', 'daniel', 'dale', '!']","['we', 'need', 'daniel', 'dale', '!']"
18," mock the  over  policy - net worth, tours, &amp; married life","[' ', 'mock', 'the', ' ', 'over', ' ', 'policy', '-', 'net', 'worth', ',', 'tours', ',', '&', 'amp', ';', 'married', 'life']","[' ', 'mock', ' ', ' ', 'policy', '-', 'net', 'worth', ',', 'tours', ',', '&', 'amp', ';', 'married', 'life']"
19, love reading? then do check out the blog made especially for you.  ,"[' ', 'love', 'reading', '?', 'then', 'do', 'check', 'out', 'the', 'blog', 'made', 'especially', 'for', 'you', '.', ' ']","[' ', 'love', 'reading', '?', 'do', 'check', 'the', 'blog', 'especially', 'you', '.', ' ']"
20,i’m so glad they’re finally locking down to keep all my israeli bbs safe but this is so extra i love it ,"['i', '’m', 'so', 'glad', 'they', '’re', 'finally', 'locking', 'down', 'to', 'keep', 'all', 'my', 'israeli', 'bbs', 'safe', 'but', 'this', 'is', 'so', 'extra', 'i', 'love', 'it']","['’m', 'glad', '’re', 'finally', 'locking', 'to', 'all', 'israeli', 'bbs', 'safe', 'this', 'so', 'extra', 'love']"
21,"  in brief, sept15, 2020  via  #قیام_تنها_جوابه … ","['  ', 'in', 'brief', ',', 'sept15', ',', '2020', ' ', 'via', ' ', '#', 'قیام_تنها_جوابه', '…']","['  ', 'brief', ',', 'sept15', ',', '2020', ' ', ' ', '#', 'قیام_تنها_جوابه', '…']"
22, help!appeal to help those who were chased by the ccp who knew the truth about wuhan covid-19… ,"[' ', 'help!appeal', 'to', 'help', 'those', 'who', 'were', 'chased', 'by', 'the', 'ccp', 'who', 'knew', 'the', 'truth', 'about', 'wuhan', 'covid-19', '…']","[' ', 'help!appeal', 'help', 'chased', 'ccp', 'who', 'knew', 'the', 'truth', 'wuhan', 'covid-19', '…']"
23,"rest well, mary. we'll take it from here. ","['rest', 'well', ',', 'mary', '.', 'we', ""'ll"", 'take', 'it', 'from', 'here', '.']","['rest', ',', 'mary', '.', ""'ll"", 'it', 'here', '.']"
24,unconscionable.the trump administration is skipping out on the bill for mailing trump-praising postcards… ,"['unconscionable.the', 'trump', 'administration', 'is', 'skipping', 'out', 'on', 'the', 'bill', 'for', 'mailing', 'trump', '-', 'praising', 'postcards', '…']","['unconscionable.the', 'trump', 'administration', 'skipping', 'on', 'bill', 'mailing', 'trump', '-', 'praising', 'postcards', '…']"
25,cfia scientific studies confirm that domestic poultry and swine do not pose a public health risk of transmitting co… ,"['cfia', 'scientific', 'studies', 'confirm', 'that', 'domestic', 'poultry', 'and', 'swine', 'do', 'not', 'pose', 'a', 'public', 'health', 'risk', 'of', 'transmitting', 'co', '…']","['cfia', 'scientific', 'studies', 'confirm', 'domestic', 'poultry', 'swine', 'not', 'pose', 'public', 'health', 'risk', 'transmitting', 'co', '…']"
26,this is not fair        … ,"['this', 'is', 'not', 'fair', '       ', '…']","['is', 'fair', '       ', '…']"
27,cdc dir today: a covid19 vaccines in a year or more away. trump stop lyinggg. ,"['cdc', 'dir', 'today', ':', 'a', 'covid19', 'vaccines', 'in', 'a', 'year', 'or', 'more', 'away', '.', 'trump', 'stop', 'lyinggg', '.']","['cdc', 'dir', 'today', ':', 'covid19', 'vaccines', 'a', 'year', 'more', 'away', '.', 'trump', 'stop', 'lyinggg', '.']"
28, respect your policies. refund your clients instead of offering vouchers    ,"[' ', 'respect', 'your', 'policies', '.', 'refund', 'your', 'clients', 'instead', 'of', 'offering', 'vouchers', '   ']","[' ', 'respect', 'policies', '.', 'refund', 'clients', 'instead', 'offering', 'vouchers', '   ']"
29," records 2,717 new  cases and 78 deaths, taking the total number of cases to 87,184 ","[' ', 'records', '2,717', 'new', ' ', 'cases', 'and', '78', 'deaths', ',', 'taking', 'the', 'total', 'number', 'of', 'cases', 'to', '87,184']","[' ', 'records', '2,717', 'new', ' ', 'cases', '78', 'deaths', ',', 'taking', 'total', 'number', 'cases', '87,184']"
30,police officers posted tiktok videos in uniform about the coronavirus ,"['police', 'officers', 'posted', 'tiktok', 'videos', 'in', 'uniform', 'about', 'the', '\xa0', 'coronavirus']","['police', 'officers', 'posted', 'tiktok', 'videos', 'uniform', 'the', '\xa0', 'coronavirus']"
31,analysis | trump’s incoherent defense of his coronavirus response   ,"['analysis', '|', 'trump', '’s', 'incoherent', 'defense', 'of', 'his', 'coronavirus', 'response', '  ']","['analysis', '|', 'trump', 'incoherent', 'defense', 'his', 'coronavirus', 'response', '  ']"
32,"(almost unbelievably, yesterday the  newspaper, , published a pro-cte—i.e. youth foot… ","['(', 'almost', 'unbelievably', ',', 'yesterday', 'the', ' ', 'newspaper', ',', ',', 'published', 'a', 'pro', '-', 'cte', '—', 'i.e.', 'youth', 'foot', '…']","['(', 'unbelievably', ',', 'yesterday', ' ', 'newspaper', ',', ',', 'published', 'pro', '-', 'cte', '—', 'i.e.', 'youth', 'foot', '…']"
33,trump falsely claims he’s ‘substantially below’ his coronavirus death projections – then tries to blame ‘blue state… ,"['trump', 'falsely', 'claims', 'he', '’s', '‘', 'substantially', 'below', '’', 'his', 'coronavirus', 'death', 'projections', '–', 'then', 'tries', 'to', 'blame', '‘', 'blue', 'state', '…']","['trump', 'falsely', 'claims', '’s', '‘', 'substantially', '’', 'coronavirus', 'death', 'projections', '–', 'tries', 'blame', '‘', 'blue', 'state', '…']"
34,we have resumed &amp; we are active!   ,"['we', 'have', 'resumed', '&', 'amp', ';', 'we', 'are', 'active', '!', '  ']","['have', 'resumed', '&', 'amp', ';', 'are', 'active', '!', '  ']"
35,wearing glasses may reduce the risk of contracting coronavirus.  cats and dogs wearing glasses is kinda trendy.… ,"['wearing', 'glasses', 'may', 'reduce', 'the', 'risk', 'of', 'contracting', 'coronavirus', '.', ' ', 'cats', 'and', 'dogs', 'wearing', 'glasses', 'is', 'kinda', 'trendy', '.', '…']","['wearing', 'glasses', 'reduce', 'risk', 'contracting', 'coronavirus', '.', ' ', 'cats', 'dogs', 'wearing', 'glasses', 'kinda', 'trendy', '.', '…']"
36,"one of our election campaign promises was “dou nahi, aik pakistan” i.e. one pakistan for rich &amp; poor alike. opposit… ","['one', 'of', 'our', 'election', 'campaign', 'promises', 'was', '“', 'dou', 'nahi', ',', 'aik', 'pakistan', '”', 'i.e.', 'one', 'pakistan', 'for', 'rich', '&', 'amp', ';', 'poor', 'alike', '.', 'opposit', '…']","['of', 'election', 'campaign', 'promises', '“', 'dou', 'nahi', ',', 'aik', 'pakistan', '”', 'i.e.', 'pakistan', 'rich', '&', 'amp', ';', 'poor', 'alike', '.', 'opposit', '…']"
37,in indonesia's java punishment for not wearing masks is digging graves for covid-19 victims. maybe we should do thi… ,"['in', 'indonesia', ""'s"", 'java', 'punishment', 'for', 'not', 'wearing', 'masks', 'is', 'digging', 'graves', 'for', 'covid-19', 'victims', '.', 'maybe', 'we', 'should', 'do', 'thi', '…']","['indonesia', 'java', 'punishment', 'not', 'wearing', 'masks', 'digging', 'graves', 'covid-19', 'victims', '.', 'maybe', 'should', 'thi', '…']"
38,the police should abandon everyone. let them fend for themselves and then you’re going to see how quickly they run… ,"['the', 'police', 'should', 'abandon', 'everyone', '.', 'let', 'them', 'fend', 'for', 'themselves', 'and', 'then', 'you', '’re', 'going', 'to', 'see', 'how', 'quickly', 'they', 'run', '…']","['police', 'abandon', '.', 'let', 'fend', 'themselves', 'then', '’re', 'going', 'see', 'quickly', 'run', '…']"
39,covid testing this week: mobile testing units are up and running this week (9/14-9/18! find a location near you an… ,"['covid', 'testing', 'this', 'week', ':', 'mobile', 'testing', 'units', 'are', 'up', 'and', 'running', 'this', 'week', '(', '9/14', '-', '9/18', '!', 'find', 'a', 'location', 'near', 'you', 'an', '…']","['covid', 'testing', 'week', ':', 'mobile', 'testing', 'units', 'up', 'running', 'week', '(', '9/14', '-', '9/18', '!', 'find', 'location', 'near', 'an', '…']"
40,"herd immunity regarding covid-19 which is a corona virus, just as the common cold is. if herd immunity worked, then… ","['herd', 'immunity', 'regarding', 'covid-19', 'which', 'is', 'a', 'corona', 'virus', ',', 'just', 'as', 'the', 'common', 'cold', 'is', '.', 'if', 'herd', 'immunity', 'worked', ',', 'then', '…']","['herd', 'immunity', 'covid-19', 'corona', 'virus', ',', 'as', 'common', 'cold', 'is', '.', 'herd', 'immunity', 'worked', ',', '…']"
41,"according to  ,till date, 56478 cases are confirmed, 44430 cases are of discharge, and 1088 cases of deaths… ","['according', 'to', ' ', ',', 'till', 'date', ',', '56478', 'cases', 'are', 'confirmed', ',', '44430', 'cases', 'are', 'of', 'discharge', ',', 'and', '1088', 'cases', 'of', 'deaths', '…']","['according', ' ', ',', 'till', 'date', ',', '56478', 'cases', 'confirmed', ',', '44430', 'cases', 'discharge', ',', '1088', 'cases', 'of', 'deaths', '…']"
42,sometimes i am concerned that watching and listening and summarizing all this dribble could have a serious long las… ,"['sometimes', 'i', 'am', 'concerned', 'that', 'watching', 'and', 'listening', 'and', 'summarizing', 'all', 'this', 'dribble', 'could', 'have', 'a', 'serious', 'long', 'las', '…']","['i', 'concerned', 'watching', 'listening', 'summarizing', 'this', 'dribble', 'have', 'serious', 'long', 'las', '…']"
43,"cdc director says masks are more effective against covid-19 than a vaccine. months earlier, he said the... ","['cdc', 'director', 'says', 'masks', 'are', 'more', 'effective', 'against', 'covid-19', 'than', 'a', 'vaccine', '.', 'months', 'earlier', ',', 'he', 'said', 'the', '...']","['cdc', 'director', 'says', 'masks', 'more', 'effective', 'covid-19', 'a', 'vaccine', '.', 'months', 'earlier', ',', 'said', '...']"
44,   does accuracy count?,"['   ', 'does', 'accuracy', 'count', '?']","['   ', 'accuracy', 'count', '?']"
45,trump says “herd mentality” will help covid-19 “disappear” ,"['trump', 'says', '“', 'herd', 'mentality', '”', 'will', 'help', 'covid-19', '\xa0', '“', 'disappear', '”']","['trump', 'says', '“', 'herd', 'mentality', '”', 'help', 'covid-19', '\xa0', '“', 'disappear', '”']"
46,« highest growth in the world» ,"['«', '\xa0', 'highest', 'growth', 'in', 'the', 'world', '»']","['«', '\xa0', 'highest', 'growth', 'the', 'world', '»']"
47," federal court rules state and county mandates for coronavirus are unconstitutional, therefore, no m… ","[' ', 'federal', 'court', 'rules', 'state', 'and', 'county', 'mandates', 'for', 'coronavirus', 'are', 'unconstitutional', ',', 'therefore', ',', 'no', 'm', '…']","[' ', 'federal', 'court', 'rules', 'state', 'county', 'mandates', 'coronavirus', 'unconstitutional', ',', ',', 'm', '…']"
48,who’s gonna tell him? ,"['who', '’s', 'gon', 'na', 'tell', 'him', '?']","['’s', 'gon', 'na', 'tell', '?']"
49,coronavirus testing centre shut down to make way for brexit lorry park ,"['coronavirus', 'testing', 'centre', 'shut', 'down', 'to', 'make', 'way', 'for', 'brexit', 'lorry', 'park']","['coronavirus', 'testing', 'centre', 'shut', 'to', 'way', 'brexit', 'lorry', 'park']"
50,excellent article ,"['excellent', 'article']","['excellent', 'article']"
51,"in the webinar hosted by ’s school of advanced international studies, jica senior vice pres.… ","['in', 'the', 'webinar', 'hosted', 'by', '’s', 'school', 'of', 'advanced', 'international', 'studies', ',', 'jica', 'senior', 'vice', 'pres', '.', '…']","['the', 'webinar', 'hosted', '’s', 'school', 'advanced', 'international', 'studies', ',', 'jica', 'senior', 'vice', 'pres', '.', '…']"
52,b.c. to a.d. (before coronavirus...after disease - register for free to attend  &amp; engage with an incr… ,"['b.c', '.', 'to', 'a.d', '.', '(', 'before', 'coronavirus', '...', 'after', 'disease', '-', 'register', 'for', 'free', 'to', 'attend', ' ', '&', 'amp', ';', 'engage', 'with', 'an', 'incr', '…']","['b.c', '.', 'a.d', '.', '(', 'coronavirus', '...', 'disease', '-', 'register', 'free', 'attend', ' ', '&', 'amp', ';', 'engage', 'an', 'incr', '…']"
53,can't wait!!! oh - io!! ,"['ca', ""n't"", 'wait', '!', '!', '!', 'oh', '-', 'io', '!', '!']","[""n't"", 'wait', '!', '!', '!', 'oh', '-', 'io', '!', '!']"
54,co-sign ,"['co', '-', 'sign']","['co', '-', 'sign']"
55,   there are hundreds of publications that testify to organ damage in… ,"['   ', 'there', 'are', 'hundreds', 'of', 'publications', 'that', 'testify', 'to', 'organ', 'damage', 'in', '…']","['   ', 'are', 'hundreds', 'publications', 'testify', 'organ', 'damage', '…']"
56,the the big cheese photo daily is out!  stories via   ,"['the', 'the', 'big', 'cheese', 'photo', 'daily', 'is', 'out', '!', ' ', 'stories', 'via', '  ']","['the', 'big', 'cheese', 'photo', 'daily', 'out', '!', ' ', 'stories', '  ']"
57, this is not true.  ,"[' ', 'this', 'is', 'not', 'true', '.', ' ']","[' ', 'is', 'true', '.', ' ']"
58,. yes very interesting.  behaviour was appalling yesterday. his shiny polish is wearing thin… ,"['.', 'yes', 'very', 'interesting', '.', ' ', 'behaviour', 'was', 'appalling', 'yesterday', '.', 'his', 'shiny', 'polish', 'is', 'wearing', 'thin', '…']","['.', 'yes', 'interesting', '.', ' ', 'behaviour', 'appalling', 'yesterday', '.', 'shiny', 'polish', 'wearing', 'thin', '…']"
59,"this editorial considers how canada can improve in the second covid-19 wave, but omits the key role of communicatio… ","['this', 'editorial', 'considers', 'how', 'canada', 'can', 'improve', 'in', 'the', 'second', 'covid-19', 'wave', ',', 'but', 'omits', 'the', 'key', 'role', 'of', 'communicatio', '…']","['editorial', 'considers', 'canada', 'improve', 'second', 'covid-19', 'wave', ',', 'omits', 'the', 'key', 'role', 'communicatio', '…']"
60,a must read to prepare for the next 18 months “america is trapped in a pandemic spiral“  ,"['a', 'must', 'read', 'to', 'prepare', 'for', 'the', 'next', '18', 'months', '“', 'america', 'is', 'trapped', 'in', 'a', 'pandemic', 'spiral', '“', ' ']","['must', 'read', 'prepare', 'the', '18', 'months', '“', 'america', 'trapped', 'a', 'pandemic', 'spiral', '“', ' ']"
61," ten changes course, will play fall football after allralph d. reports:  ","[' ', 'ten', 'changes', 'course', ',', 'will', 'play', 'fall', 'football', 'after', 'allralph', 'd.', 'reports', ':', ' ']","[' ', 'changes', 'course', ',', 'play', 'fall', 'football', 'allralph', 'd.', 'reports', ':', ' ']"
62,"nhs test and trace will email, phone or text if you’ve been in close contact with coronavirus.they will never:… ","['nhs', 'test', 'and', 'trace', 'will', 'email', ',', 'phone', 'or', 'text', 'if', 'you', '’ve', 'been', 'in', 'close', 'contact', 'with', 'coronavirus.they', 'will', 'never', ':', '…']","['nhs', 'test', 'trace', 'email', ',', 'phone', 'text', 'you', 'been', 'close', 'contact', 'coronavirus.they', 'never', ':', '…']"
63," ""in a crisis, you have to keep your focus on your guiding principles: your vision, mission &amp; values. co… ","[' ', '""', 'in', 'a', 'crisis', ',', 'you', 'have', 'to', 'keep', 'your', 'focus', 'on', 'your', 'guiding', 'principles', ':', 'your', 'vision', ',', 'mission', '&', 'amp', ';', 'values', '.', 'co', '…']","[' ', '""', 'a', 'crisis', ',', 'have', 'keep', 'focus', 'guiding', 'principles', ':', 'your', 'vision', ',', 'mission', '&', 'amp', ';', 'values', '.', 'co', '…']"
64,"the ""back the blue"" rally in cuyahoga falls is canceled after the organizer and host cited covid-19 concerns. ","['the', '""', 'back', 'the', 'blue', '""', 'rally', 'in', 'cuyahoga', 'falls', 'is', 'canceled', 'after', 'the', 'organizer', 'and', 'host', 'cited', 'covid-19', 'concerns', '.']","['""', 'the', 'blue', '""', 'rally', 'cuyahoga', 'falls', 'canceled', 'the', 'organizer', 'host', 'cited', 'covid-19', 'concerns', '.']"
65,"ok, im gonna try to get some help from my patriot friends. help me spread this far  and wide.  ","['ok', ',', 'i', 'm', 'gon', 'na', 'try', 'to', 'get', 'some', 'help', 'from', 'my', 'patriot', 'friends', '.', 'help', 'me', 'spread', 'this', 'far', ' ', 'and', 'wide', '.', ' ']","['ok', ',', 'm', 'gon', 'na', 'try', 'get', 'help', 'my', 'patriot', 'friends', '.', 'help', 'spread', 'far', ' ', 'wide', '.', ' ']"
66,oh snap  ,"['oh', 'snap', ' ']","['oh', 'snap', ' ']"
67, they are afraid of what she has to say about this virus.  ,"[' ', 'they', 'are', 'afraid', 'of', 'what', 'she', 'has', 'to', 'say', 'about', 'this', 'virus', '.', ' ']","[' ', 'are', 'afraid', 'what', 'has', 'say', 'this', 'virus', '.', ' ']"
68,"we worked with all the systems we could devise, and ascertained that there is no single system or plan remaining th… ","['we', 'worked', 'with', 'all', 'the', 'systems', 'we', 'could', 'devise', ',', 'and', 'ascertained', 'that', 'there', 'is', 'no', 'single', 'system', 'or', 'plan', 'remaining', 'th', '…']","['worked', 'all', 'systems', 'could', 'devise', ',', 'ascertained', 'there', 'no', 'single', 'system', 'plan', 'remaining', 'th', '…']"
69,thousands of north carolina residents incorrectly told they had coronavirus,"['thousands', 'of', 'north', 'carolina', 'residents', 'incorrectly', 'told', 'they', 'had', 'coronavirus']","['thousands', 'north', 'carolina', 'residents', 'incorrectly', 'told', 'had', 'coronavirus']"
70," i was confused when the usc statement sai ""according to the pac-12’s medical advisory committee, da… ","[' ', 'i', 'was', 'confused', 'when', 'the', 'usc', 'statement', 'sai', '""', 'according', 'to', 'the', 'pac-12', '’s', 'medical', 'advisory', 'committee', ',', 'da', '…']","[' ', 'was', 'confused', 'the', 'usc', 'statement', 'sai', '""', 'according', 'the', 'pac-12', 'medical', 'advisory', 'committee', ',', 'da', '…']"
71,one could only dream fuckface in chief gets sick ,"['one', 'could', 'only', 'dream', 'fuckface', 'in', 'chief', 'gets', 'sick']","['could', 'dream', 'fuckface', 'chief', 'gets', 'sick']"
72, with the  pandemic apocalyptic smokeandall the other  badthingstoda… ,"[' ', 'with', 'the', ' ', 'pandemic', 'apocalyptic', 'smokeandall', 'the', 'other', ' ', 'badthingstoda', '…']","[' ', ' ', 'pandemic', 'apocalyptic', 'smokeandall', 'the', 'other', ' ', 'badthingstoda', '…']"
73," ah, but the key difference in that study is that those who were  positive would not have been weari… ","[' ', 'ah', ',', 'but', 'the', 'key', 'difference', 'in', 'that', 'study', 'is', 'that', 'those', 'who', 'were', ' ', 'positive', 'would', 'not', 'have', 'been', 'weari', '…']","[' ', 'ah', ',', 'the', 'key', 'difference', 'that', 'study', 'that', 'who', ' ', 'positive', 'not', 'been', 'weari', '…']"
74,happy to share a fresh preprint on an overview of  in : insights from  and… ,"['happy', 'to', 'share', 'a', 'fresh', 'preprint', 'on', 'an', 'overview', 'of', ' ', 'in', ':', 'insights', 'from', ' ', 'and', '…']","['happy', 'share', 'fresh', 'preprint', 'an', 'overview', ' ', ':', 'insights', ' ', '…']"
75,"nearly two decades after 9/11, the parallels between the post-terrorist attack ‘new normal’ &amp; that of covid-19 can’… ","['nearly', 'two', 'decades', 'after', '9/11', ',', 'the', 'parallels', 'between', 'the', 'post', '-', 'terrorist', 'attack', '‘', 'new', 'normal', '’', '&', 'amp', ';', 'that', 'of', 'covid-19', 'can', '’', '…']","['nearly', 'decades', '9/11', ',', 'parallels', 'the', 'post', '-', 'terrorist', 'attack', '‘', 'new', 'normal', '’', '&', 'amp', ';', 'of', 'covid-19', '’', '…']"
76,n_landcouncil: rt :  a message here from our chief constable on the new  regulations that h… ,"['n_landcouncil', ':', 'rt', ':', ' ', 'a', 'message', 'here', 'from', 'our', 'chief', 'constable', 'on', 'the', 'new', ' ', 'regulations', 'that', 'h', '…']","['n_landcouncil', ':', 'rt', ':', ' ', 'message', 'from', 'chief', 'constable', 'the', 'new', ' ', 'regulations', 'h', '…']"
77,another one bites the dust because he didn’t share the views and opinions of the narrative and used his own logical… ,"['another', 'one', 'bites', 'the', 'dust', 'because', 'he', 'did', 'n’t', 'share', 'the', 'views', 'and', 'opinions', 'of', 'the', 'narrative', 'and', 'used', 'his', 'own', 'logical', '…']","['one', 'bites', 'dust', 'he', 'n’t', 'share', 'views', 'opinions', 'the', 'narrative', 'used', 'own', 'logical', '…']"
78,with only 14% to 16% of indians having health insurance &amp; indian government spending on health at roughly 1.13% of… ,"['with', 'only', '14', '%', 'to', '16', '%', 'of', 'indians', 'having', 'health', 'insurance', '&', 'amp', ';', 'indian', 'government', 'spending', 'on', 'health', 'at', 'roughly', '1.13', '%', 'of', '…']","['only', '14', '%', '16', '%', 'indians', 'having', 'health', 'insurance', '&', 'amp', ';', 'indian', 'government', 'spending', 'health', 'roughly', '1.13', '%', '…']"
79,      btw i'm using the same source as the video… ,"['      ', 'btw', 'i', ""'m"", 'using', 'the', 'same', 'source', 'as', 'the', 'video', '…']","['      ', 'btw', ""'m"", 'the', 'source', 'the', 'video', '…']"
80,so sick and tired of the career politicians on both sides playing with ppls lives ,"['so', 'sick', 'and', 'tired', 'of', 'the', 'career', 'politicians', 'on', 'both', 'sides', 'playing', 'with', 'ppls', 'lives']","['sick', 'tired', 'the', 'career', 'politicians', 'both', 'sides', 'playing', 'ppls', 'lives']"
81," the fake account  is still running since july, are you kidding me? why are you suspending… ","[' ', 'the', 'fake', 'account', ' ', 'is', 'still', 'running', 'since', 'july', ',', 'are', 'you', 'kidding', 'me', '?', 'why', 'are', 'you', 'suspending', '…']","[' ', 'fake', 'account', ' ', 'still', 'running', 'july', ',', 'kidding', '?', 'are', 'you', 'suspending', '…']"
82,  it’s usually shared in the media release later in the day ,"['  ', 'it', '’s', 'usually', 'shared', 'in', 'the', 'media', 'release', 'later', 'in', 'the', 'day']","['  ', '’s', 'usually', 'shared', 'the', 'media', 'release', 'later', 'the', 'day']"
